FECHA_INF,8172 - A,8172 - P,8245 - A,8245 - P,8251 - G,8251 - GLB,8251 - INV,8295 - CLASICA,8295 - LARGOPLAZO,8295 - LIQUIDEZ,8306 - A,8306 - B,8336 - A,8336 - B,8336 - N,8377 - L,8638 - CLASI,8773 - A,8773 - B,8788 - A,8788 - P,8846 - CLASI,8846 - CRECI,8846 - IPA,8846 - PATRI,8886 - AHORROSIST,8886 - CLASICA,8886 - WEB,8900 - INVER,8900 - UNIVE,8910 - GLOBAL,8994 - F1,9063 - INVER,9192 - A,9192 - D,9226 - CLASI,9228 - CLASI,9430 - A,9430 - P,9568 - A,9575 - A,9575 - CUI,9575 - W,9595 - G,9595 - GLB,9595 - INV,9596 - G,9596 - GLB,9596 - INV,9649 - DIGITAL,9649 - GLOBAL,9649 - YOU,9730 - A,9810 - B,9853 - A,9872 - A,9872 - C,9872 - DIGITAL,10020 - SIMPLE,10050 - DIGITAL,10059 - DIGITAL,10072 - CLASI,10147 - DIGITAL,10147 - EJECU,10147 - GLOBAL,10152 - L,10208 - A,10235 - A,10260 - D,10367 - DIGITAL,10368 - DIGITAL,10480 - A,10480 - DIGITAL,10482 - A,10482 - DIGITAL,10580 - DIGITAL
2021-06-19,1.2284350497723224,1.245198938595355,1.070888374319652,1.0851300077165067,1.0845929052395313,1.0,1.0,1.0555395404550985,1.060826760415713,1.0337497744958137,1.0505767158828963,1.0651591356151504,1.144202766858388,1.151244565039991,1.1017530391373473,0.9978925422803012,1.0935943167873718,0.9696682767144909,0.976009382292972,0.9189203926181989,0.9260959960386029,1.0268741260032304,1.0381001222163044,1.0494405557456057,1.049448711127639,1.0,0.971990892115692,0.9748358000000001,1.058400577824475,1.049230243816753,1.0006211571338606,1.0518045275508994,1.1141579305267597,1.0714134570093752,1.0239614,1.0,1.0421292218189289,1.008156469513633,1.0114443661080148,1.094485702540858,1.0930347200260677,1.098665719750233,1.0,1.0774699312756761,1.0,1.0,1.0128913447361287,1.0,1.0,1.0,1.0,1.0,1.0376574000000005,1.0215486236315545,1.058160488397925,1.0311730703842248,0.9764960054546487,0.9995042824295592,1.0,1.0,1.0,1.0531470125567384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-20,1.2283712432511031,1.2451389347914519,1.0708410093410945,1.0851000747069786,1.0845780588920684,1.0,1.0,1.0555661172976671,1.0608601804672273,1.033748629291599,1.0505956689490028,1.0651967228743544,1.144180906791209,1.151230793222135,1.1016794530344092,0.9979192223831637,1.0936141080070032,0.9696583962108823,0.9760074996895605,0.9189321290924597,0.9261169445889633,1.0269139840484802,1.0381546437796172,1.0495099776654224,1.0495181885569844,1.0,0.9720227162585683,0.9748826000000003,1.05841346918938,1.0492315254558036,1.0006690461193937,1.051774107776148,1.1141684871413151,1.0714369683281233,1.0239989999999999,1.0,1.0421849765323363,1.0081772768338209,1.0114694227149064,1.0944501124896373,1.0929569042348288,1.098594641703869,1.0,1.07746983359762,1.0,1.0,1.0129239371262082,1.0,1.0,1.0,1.0,1.0,1.0376574000000005,1.0215220229851587,1.0581060062947405,1.031181470888255,0.9764960054546487,0.9995436997298124,1.0,1.0,1.0,1.0531470125567384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-21,1.228307436729884,1.2451089328895004,1.070793396810384,1.0850698773883154,1.0845663023935694,1.0,1.0,1.0555936876670609,1.0608946020660266,1.0337484945616913,1.0506173758794157,1.065237108508186,1.1441591006995047,1.1512170800077595,1.1016059563435037,0.9979401338151371,1.093630681635713,0.969637686675319,0.9759946979863616,0.9189411139531379,0.9261350464722014,1.0269736637787106,1.0382292413788532,1.049599744064519,1.0496079412437533,1.0,0.9720516051649657,0.9749265000000004,1.0584278172056867,1.0492343149055017,1.0007151355188317,1.0517446647831548,1.1141725473776825,1.0714612781444894,1.0240373999999999,1.0,1.04224215401355,1.0082034537850249,1.0114998349324313,1.0944144259884132,1.0928788967790792,1.098523464800695,1.0,1.0774754012468042,1.0,1.0,1.0129655403535451,1.0,1.0,1.0,1.0,1.0,1.0376574000000005,1.021495422338763,1.0580515241915562,1.0311822709362577,0.9764960054546487,0.9995758138246887,1.0,1.0,1.0,1.0531480528570822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-22,1.2458695518175802,1.2629065305937506,1.076537349410418,1.0909085322556937,1.0871904885103958,1.0,1.0,1.0590210571552658,1.064345881297568,1.0370776032142208,1.0512652899540975,1.0659124071853878,1.1492903331598368,1.1563881925004802,1.1064935757007437,0.9990162613424234,1.0948438955409754,0.9719733586843344,0.9783537506693614,0.9193542490781984,0.9265605137197633,1.0260379657541383,1.0372974245471047,1.0486720936609657,1.0486802986842576,1.0,0.9711295546952738,0.9740166000000003,1.0600537315002512,1.0508345543458326,1.0013862811553353,1.0550821885102304,1.1171560902652287,1.0730177274456132,1.0255401999999998,1.0,1.041041871523002,1.008204124988902,1.0115046167276398,1.0979175865585715,1.0945550987551402,1.100215399103227,1.0,1.079033073203649,1.0,1.0,1.0130667684827335,1.0,1.0,1.0,1.0,1.0,1.0378407000000003,1.020403095795228,1.0766417120464065,1.031631197871874,0.9764960054546487,1.0000422185297138,1.0,1.0,1.0,1.070845059573806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-23,1.2519748360728178,1.2691274538564725,1.0633738049471426,1.077587219701816,1.0791022436297668,1.0,1.0,1.0542780097690536,1.0595856851903924,1.0324057089373182,1.0466818877966555,1.0612834503552135,1.1383824834903855,1.145421137208741,1.095939647593204,0.9945724919125933,1.0894033135479864,0.9674882423983162,0.9738471746226884,0.9180389216302858,0.925243966671509,1.0236112762918184,1.0348583236895006,1.046220535698098,1.0462287096588383,1.0,0.969806844446216,0.9727049000000002,1.0536939914804802,1.0445186371050357,0.997916879117804,1.0465628375565912,1.1101445492869682,1.0653610225099133,1.0182373,1.0,1.0395386284127108,1.0043277308265348,1.0076196950285798,1.0906857653105202,1.0913254559219554,1.0969761580111401,1.0,1.0746485983101328,1.0,1.0,1.010835627661848,1.0,1.0,1.0,1.0,1.0,1.0378085000000004,1.018401347152736,1.080993703529991,1.0240464427865688,0.9764960054546487,0.9927208051613864,1.0,1.0,1.0,1.075373204598481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-24,1.2289345310088,1.245780037701838,1.0618998794297267,1.0761115818016305,1.0769672333575262,1.0,1.0,1.055113317447173,1.060431887220297,1.0331965061301396,1.0458014611787967,1.0604090218834816,1.1383261870704653,1.1453726721305844,1.0958331578622207,0.9930832734683498,1.08984782676928,0.9681231240381826,0.974494187763185,0.918573970083674,0.9257923515455753,1.020747579500341,1.0319772750273895,1.043322170545742,1.0433303384950887,1.0,0.9687201890045116,0.9716299000000003,1.051430063871976,1.042263027766712,0.9973843016106307,1.0464666943235468,1.1096715317501578,1.0638489341875594,1.0168071,1.0,1.037920141110113,1.0017147341332686,1.0050022359674415,1.089509557520176,1.0861414100758044,1.0917724343914503,1.0,1.0734683543611419,1.0,1.0,1.0093882379624044,1.0,1.0,1.0,1.0,1.0,1.0366457000000002,1.01823894320632,1.0626539152061203,1.022583755025303,0.9764960054546487,0.9913338964471518,1.0,1.0,1.0,1.0563422774926112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-25,1.2231803135828299,1.2399643425912914,1.06561448199898,1.079893845522149,1.076181281288017,1.0,1.0,1.0528110177355987,1.0581246912664635,1.030914922509416,1.0457454659379064,1.0603705442323508,1.1402236948770732,1.1472900607970111,1.0976074502397464,0.9921614578873501,1.089679662111675,0.9671362593377676,0.9735088331375568,0.9157229614797152,0.9229280204889917,1.0184554914439723,1.0296740999335545,1.0410079137131791,1.041016053248766,1.0,0.967505078345324,0.9704260000000002,1.0502196593897433,1.0410517280829377,0.9971076652369967,1.0476418325486312,1.1093241379265568,1.0643455997058684,1.0172970000000001,1.0,1.0365236055852907,1.0009586709089318,1.0042477643194703,1.0886833667918379,1.087426999779587,1.0930719071584256,1.0,1.0725468595821315,1.0,1.0,1.0085663345725755,1.0,1.0,1.0,1.0,1.0,1.0377688,1.0198201816304135,1.0587775401135506,1.0234139048342916,0.9764960054546487,0.9921696632652081,1.0,0.9997161,1.0,1.0519480613413645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-26,1.2231169051531061,1.239904713153575,1.0655117478555924,1.0798077468214529,1.0761656813188551,1.0,1.0,1.0528469337303223,1.058167441521634,1.0309230063038737,1.0457687387911596,1.060412456252343,1.1402034540741295,1.1472778712731215,1.097535652377463,0.9921920138159663,1.0896998782961453,0.9671243236894087,0.9735048420183243,0.9157348102647347,0.922948969039352,1.018498426501692,1.0297316466529653,1.0410802282129883,1.041088502621382,1.0,0.9675416915582445,0.9704777000000003,1.0502377946996941,1.0410583624497873,0.9971604530957892,1.0476132267971447,1.1093298222574712,1.0643694659124467,1.0173349,1.0,1.036581761219371,1.0009665335829199,1.0042599100792993,1.0886478731906204,1.0873494714851137,1.0930010268256816,1.0,1.0725490084993605,1.0,1.0,1.0086039116811378,1.0,1.0,1.0,1.0,1.0,1.0377688,1.019793680986448,1.058723397926436,1.023426505590337,0.9764960054546487,0.9922128822340134,1.0,0.9997661000000001,1.0,1.051949095151232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-27,1.2230534967233826,1.239874898434717,1.0654690451092448,1.0797825052990693,1.076156863944981,1.0,1.0,1.0528624824251336,1.0581897391269819,1.0309111500720025,1.045794549519362,1.060456912249269,1.1401845626580491,1.1472670296292775,1.0974651062836378,0.9922253639445447,1.089719426678726,0.9671213990603407,0.9735098873954673,0.9157515445677479,0.9229749540007746,1.0185571759723389,1.029805075441891,1.041168741160755,1.0411770004876588,1.0,0.9675751378054906,0.9705261000000004,1.0502494479109077,1.041058513230852,0.9972128410465604,1.0475844815054074,1.1093366434545686,1.0644015832610763,1.0173806,1.0,1.0366377827017421,1.0009866696992307,1.0042842015989575,1.088612379589403,1.0872721348551508,1.0929304430633673,1.0,1.0725662975152481,1.0,1.0,1.0086523209664031,1.0,1.0,1.0,1.0,1.0,1.0377688,1.0197670803400525,1.058669255739322,1.0234355061303697,0.9764960054546487,0.9922525996659942,1.0,0.9998088,1.0,1.051949095151232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-28,1.222990088293659,1.2398152689970008,1.0654315409581048,1.0797624838821,1.076147368311578,1.0,1.0,1.0529020744691096,1.058236179293203,1.0309228042090124,1.0458175523859186,1.0604985698715677,1.1401635661984624,1.1472540782601448,1.0973925931250925,0.9922484386281019,1.0897364859815373,0.9671006895247772,0.9734970856922684,0.9157672680739348,0.9229997710987623,1.0186188593385963,1.0298815293869148,1.0412603395271802,1.04126853634039,1.0,0.9676158449008687,0.9705818000000004,1.0502671462254383,1.041064619863975,0.9972499325155226,1.0475541315007817,1.1093414345334822,1.0644345878292811,1.0174271000000001,1.0,1.0366998509472898,1.0010036415686927,1.0043053371337782,1.0885768859881857,1.0871946065606772,1.0928595627306232,1.0,1.0725722558766557,1.0,1.0,1.0086936366138273,1.0,1.0,1.0,1.0,1.0,1.0377688,1.0197405796960868,1.0586151135522077,1.0234455067304058,0.9764960054546487,0.9922933175370678,1.0,0.9998532000000001,1.0,1.0519501289610993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-29,1.2262474893024193,1.2431390983527726,1.0670512746934848,1.081422014862897,1.075379126351987,1.0,1.0,1.050745376113739,1.0560752092429984,1.0287840342903745,1.0446920858421571,1.0593755948533576,1.1409858285772383,1.148089588077898,1.098131672987652,0.9907028855072059,1.0884869072279337,0.9654192649427007,0.9718125321595745,0.9131169026399968,0.9203375534078503,1.01606751509203,1.0273160595086692,1.0386807366899833,1.0386889556247882,1.0,0.9646098537742431,0.9675815000000004,1.0476697182785177,1.038478573822223,0.9953629665177022,1.0480554298530484,1.1085947570655041,1.0643359290124965,1.0173479,1.0,1.0334998683050571,0.9996820411348264,1.0029835533022902,1.0936139874109583,1.088938849437945,1.0946201036592702,1.0,1.0707952966843985,1.0,1.0,1.0067551562838621,1.0,1.0,1.0,1.0,1.0,1.0379692,1.0197659803133219,1.0618619168106624,1.022331639898396,0.9764960054546487,0.9912443571483532,1.0,0.9988262000000001,1.0,1.0555576496415386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-30,1.2320230974246897,1.2490027665734587,1.0608504233368763,1.0751555756606719,1.0680782654220946,1.0,1.0,1.0460158406923468,1.0513282968156046,1.0241264213836805,1.040295730468172,1.0549356555093996,1.1326066219379094,1.13966633405285,1.0900152063044084,0.9860962412602381,1.082752310275818,0.9598761443302865,0.966240628494349,0.9135715927456942,0.920804844764668,1.0108397424640738,1.0220443812400706,1.0333648495993364,1.0333730737184545,1.0,0.9625486998215532,0.9655288000000004,1.0393644746466517,1.0302349206684298,0.9901755596212882,1.041737256591221,1.102842782613161,1.0565936073877704,1.0099623000000002,1.0,1.0305095660682704,0.9953698438837323,0.9986611929775719,1.088279723527993,1.0858927253735073,1.091565131660956,1.0,1.065576944227981,1.0,1.0,1.0032823412609175,1.0,1.0,1.0,1.0,1.0,1.0378652000000002,1.017272219714939,1.0664191834115015,1.0154816288977357,0.9764960054546487,0.984633455623674,1.0,0.9958183000000002,1.0,1.0599358716045189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-07-01,1.2182234526072995,1.2350119012438066,1.0712510382234166,1.0857145273683533,1.071985793929531,1.0,1.0,1.0457285127345566,1.051046124046273,1.0238181593550277,1.041569203719051,1.0562452312357382,1.1399423747038961,1.14705593989346,1.0970227849577148,0.9874040169779194,1.0836032113014464,0.9604862851891173,0.966862715965676,0.9141485892673739,0.9213954916967784,1.0098645441863991,1.0210723435829274,1.0323962209792243,1.0324044183418262,1.0,0.9615189725189258,0.9645107000000004,1.0399519421569527,1.0308058531701554,0.9904690921088162,1.0474597325208765,1.106197674718876,1.0602784077283207,1.0134995000000002,1.0,1.0283002744341272,0.9960230211423476,0.9993206025368013,1.0915673183407577,1.0871438154654107,1.0928300045444441,1.0,1.0653736761937302,1.0,1.0,1.0022979552205449,1.0,1.0,1.0,1.0,1.0,1.0379183,1.018343945757882,1.0559616154036022,1.0193748624917514,0.9764960054546487,0.988439326020191,1.0,0.9963020000000001,1.0,1.0498796515787832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-07-02,1.2366447384745733,1.2537177573991747,1.066766837269986,1.0811878369693693,1.065091361181714,1.0,1.0,1.042108498394984,1.0474143027383334,1.0202471431533522,1.0378526208499552,1.052494455243274,1.1363265576660733,1.1434257473101173,1.0934910096648167,0.9822234801129577,1.0787324464479084,0.9568458333955805,0.9632060977072693,0.9113641809431925,0.9185980208218326,1.002722869802156,1.0138653217005982,1.0251233106850723,1.025131412727099,1.0,0.9598222513480075,0.9628235000000004,1.0309942643622705,1.0219158015917227,0.9864616138288205,1.0434604391527083,1.102107961035376,1.054892807461729,1.0083665000000002,1.0,1.023961366162991,0.991120260365738,0.994405682149866,1.0918741258012812,1.087952448034961,1.0936499229262848,1.0,1.0597202656764995,1.0,1.0,0.9974084256888199,1.0,1.0,1.0,1.0,1.0,1.037817,1.0164593999634193,1.072645762527769,1.0138812328739741,0.9764960054546487,0.9831432015511615,1.0,0.9937490000000002,1.0,1.0653558651847448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-07-03,1.23658074981999,1.253657582316624,1.0667212876738816,1.081159621969218,1.0650860858298237,1.0,1.0,1.0421401422243601,1.0474527305262733,1.0202513197804886,1.0378751377404578,1.052535476871339,1.1363092315387537,1.1434164879602398,1.093422251811646,0.9822580020028103,1.078758551430858,0.9568339767912503,0.9632020312839003,0.9113837230151677,0.918626706467448,1.0027844100515542,1.0139414318778834,1.0252142341161659,1.0252224202343596,1.0,0.9598685971871477,0.9628848000000005,1.0310116713465205,1.0219218328343134,0.9865174009977715,1.043430158918208,1.1021246080044826,1.0549207548783541,1.0084081000000003,1.0,1.0240262799441513,0.9911510398578132,0.9944406848907911,1.0918385357500604,1.0878750155727428,1.0935792403071607,1.0,1.0597340382823761,1.0,1.0,0.9974561639542895,1.0,1.0,1.0,1.0,1.0,1.037817,1.0164329993218837,1.0725911249074283,1.013884233053985,0.9764960054546487,0.9831769163485863,1.0,0.9937875000000003,1.0,1.0652974420735581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
